"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.486255040E-1,-4.624129832E-1,4.115654826E-1,8.874979019E0,8.896542278E0
1.506926940E-1,-4.857429862E-1,4.019941986E-1,8.913264275E0,8.935537231E0
1.527767600E-1,-4.719842672E-1,4.067798555E-1,8.898907661E0,8.920694848E0
1.548524940E-1,-4.905286431E-1,4.019941986E-1,8.913264275E0,8.935798661E0
1.569269780E-1,-5.144568682E-1,3.876372576E-1,8.942576408E0,8.965746000E0
1.589965370E-1,-5.335994363E-1,3.924229145E-1,8.956933022E0,8.981390385E0
1.610631060E-1,-5.473581553E-1,3.780659735E-1,8.995218277E0,9.019783073E0
1.631474570E-1,-5.521438122E-1,3.828516304E-1,9.009575844E0,9.034594349E0
1.652214930E-1,-5.617151260E-1,3.493520916E-1,9.014361382E0,9.038599553E0
1.672981840E-1,-5.850451589E-1,3.158525825E-1,9.034101486E0,9.058533565E0
1.693702460E-1,-5.898307562E-1,3.206382394E-1,9.043673515E0,9.068557760E0
1.714424200E-1,-6.185446382E-1,2.967100143E-1,9.034101486E0,9.060111697E0
1.735069140E-1,-6.233302951E-1,2.919243574E-1,9.053244591E0,9.079372121E0
1.755930340E-1,-6.370890141E-1,2.823530734E-1,9.087342262E0,9.114021893E0
1.776677820E-1,-6.705885530E-1,2.775674164E-1,9.096913338E0,9.125818591E0
1.797440960E-1,-6.705885530E-1,3.062812984E-1,9.116056442E0,9.145817749E0
1.818175830E-1,-6.939185858E-1,2.919243574E-1,9.135198593E0,9.166165838E0
1.838981500E-1,-6.987041831E-1,2.817548811E-1,9.144769669E0,9.175749868E0
1.859644340E-1,-7.034898400E-1,2.817548811E-1,9.149555206E0,9.180884720E0
1.880391410E-1,-7.369893789E-1,2.817548811E-1,9.159725189E0,9.193644800E0
1.901101860E-1,-7.465606928E-1,2.769692242E-1,9.178867340E0,9.213341981E0
1.921866620E-1,-7.698906660E-1,2.817548811E-1,9.212367058E0,9.248774203E0
1.942615130E-1,-7.788637877E-1,2.865405083E-1,9.255437851E0,9.292570370E0
1.963352740E-1,-7.788637877E-1,2.769692242E-1,9.265008926E0,9.301813326E0
1.984093080E-1,-7.794619799E-1,2.769692242E-1,9.241081238E0,9.278030792E0
2.004832830E-1,-7.842476368E-1,2.721835673E-1,9.236295700E0,9.273526110E0
