"Time_s","LinearA_x_m/s/s)","LinearA_y_m/s/s","LinearA_z_m/s/s","AbsA_m/s/s"
1.259603849E0,-1.030766964E0,2.346439838E0,1.303078890E0,2.875113049E0
1.276199370E0,2.302880764E0,-2.768827629E1,1.049552917E1,2.970016896E1
1.292795043E0,2.382874727E0,-4.011177826E1,-5.986983299E0,4.062606080E1
1.309387918E0,-2.825959206E0,-1.886095810E1,-7.429807186E-1,1.908595835E1
1.325982249E0,-1.225134969E0,2.873111248E0,-3.433045626E0,4.641284973E0
1.342575958E0,1.284637690E0,8.484061241E0,-4.178201199E0,9.543948575E0
1.359165935E0,2.090703249E0,8.436188698E0,-4.633990765E0,9.849578175E0
1.375766715E0,2.752562523E0,8.014159203E0,-5.059807777E0,9.869397292E0
1.392358868E0,3.434605598E0,7.523983955E0,-5.414528847E0,9.885543627E0
1.408950696E0,4.128656387E0,7.003131866E0,-5.706322193E0,9.932359864E0
1.425546847E0,4.263887882E0,5.506603718E0,-7.260023594E0,1.006038602E1
1.442139549E0,2.011005402E0,1.673998833E-1,-1.132994270E1,1.150824779E1
1.458731408E0,1.551815510E0,-3.051259041E0,-1.165376663E1,1.214613477E1
1.475331536E0,-1.565413475E1,2.283201599E1,-2.299248505E1,3.598620927E1
1.491919763E0,1.066678715E1,1.868097496E1,-1.533068275E1,2.641569623E1
1.508515171E0,1.947761345E1,2.078047276E0,5.829621124E1,6.149913781E1
1.525097102E0,1.309186459E1,-4.146282196E0,5.599389267E1,5.765331379E1
1.541705022E0,6.608732224E0,-1.095020294E0,-6.870172024E0,9.595502836E0
1.558297145E0,3.637631536E-1,1.494150639E0,-1.431247330E1,1.439484983E1
1.574890855E0,-6.705543399E-1,-4.701933861E-1,-1.026702118E1,1.029963343E1
1.591485317E0,-9.250444174E-1,-7.144587040E-1,-8.177815437E0,8.260921483E0
1.608078976E0,-8.852453232E-1,-2.240891457E-1,-8.047417641E0,8.099062039E0
1.624672899E0,-1.009861231E-1,-9.000804424E-1,-5.074738979E0,5.154931494E0
1.641266558E0,1.667259216E0,-9.804543257E-1,1.505498409E1,1.517872162E1
1.657861082E0,3.525072336E0,-2.255401611E-1,1.709510040E1,1.745621554E1
1.674454731E0,-5.238103867E-2,-3.885958195E-1,-2.305377483E0,2.338485797E0
1.691048623E0,-1.485027552E0,-3.271842003E-1,-5.584883690E0,5.788201980E0
1.707642353E0,-1.702751279E0,-8.058358431E-1,-4.195153713E0,4.598700686E0
1.724237061E0,-1.489633918E0,6.002646685E-1,-5.746145248E-1,1.705728212E0
1.740830404E0,-3.688535690E-1,6.477509737E-1,4.613747597E0,4.673574774E0
1.757424407E0,-4.827287197E-1,7.039391994E-1,1.109311104E0,1.399688729E0
1.774018138E0,-1.466897249E0,1.203188896E-1,-1.407344341E0,2.036389518E0
1.790609793E0,-9.591225386E-1,6.390016079E-1,8.941526413E-1,1.458680241E0
1.807208873E0,-1.021748185E0,2.871896029E-1,1.313409805E-1,1.069438018E0
1.823800142E0,-9.978299141E-1,4.569363594E-1,2.069768906E-1,1.116823535E0
1.840386253E0,-1.072540641E0,5.008723736E-1,1.929330826E-1,1.199349713E0
1.856988365E0,-1.024774551E0,3.488640785E-1,1.788129807E-1,1.097197844E0
1.873581923E0,-9.744092226E-1,3.892751932E-1,2.973451614E-1,1.090606553E0
1.890175968E0,-1.081044316E0,3.843587637E-1,8.350944519E-2,1.150374852E0
1.906769556E0,-1.017061830E0,5.001291037E-1,2.541770935E-1,1.161529113E0
